borough,crash_day,total_collisions,injury_incidents,fatal_incidents
BROOKLYN,2024-10-14,47,25,0
QUEENS,2024-10-14,41,19,0
MANHATTAN,2024-10-14,30,12,0
BRONX,2024-10-14,21,10,0
STATEN ISLAND,2024-10-14,7,2,0
BROOKLYN,2024-10-13,49,20,0
MANHATTAN,2024-10-13,33,13,1
QUEENS,2024-10-13,31,13,0
BRONX,2024-10-13,23,9,0
STATEN ISLAND,2024-10-13,6,1,0
BROOKLYN,2024-10-12,61,17,0
QUEENS,2024-10-12,47,21,0
MANHATTAN,2024-10-12,36,20,0
BRONX,2024-10-12,30,20,1
STATEN ISLAND,2024-10-12,4,0,0
BROOKLYN,2024-10-11,75,47,0
QUEENS,2024-10-11,44,21,0
MANHATTAN,2024-10-11,39,16,0
BRONX,2024-10-11,31,14,0
STATEN ISLAND,2024-10-11,11,5,0
BROOKLYN,2024-10-10,81,46,1
QUEENS,2024-10-10,57,27,0
MANHATTAN,2024-10-10,46,23,0
BRONX,2024-10-10,25,13,0
STATEN ISLAND,2024-10-10,6,3,0
BROOKLYN,2024-10-09,65,37,0
QUEENS,2024-10-09,56,24,0
MANHATTAN,2024-10-09,33,16,0
BRONX,2024-10-09,21,8,0
STATEN ISLAND,2024-10-09,9,4,1
BROOKLYN,2024-10-08,68,44,0
QUEENS,2024-10-08,53,27,0
MANHATTAN,2024-10-08,32,12,0
BRONX,2024-10-08,24,12,0
STATEN ISLAND,2024-10-08,11,5,0
BROOKLYN,2024-10-07,58,29,0
QUEENS,2024-10-07,40,18,0
MANHATTAN,2024-10-07,38,17,0
BRONX,2024-10-07,23,7,0
STATEN ISLAND,2024-10-07,8,4,0
QUEENS,2024-10-06,60,23,0
BROOKLYN,2024-10-06,50,25,0
MANHATTAN,2024-10-06,35,15,0
BRONX,2024-10-06,26,10,0
STATEN ISLAND,2024-10-06,5,5,0
BROOKLYN,2024-10-05,64,38,0
QUEENS,2024-10-05,55,20,0
MANHATTAN,2024-10-05,44,18,0
BRONX,2024-10-05,22,6,0
STATEN ISLAND,2024-10-05,10,3,0
BROOKLYN,2024-10-04,58,38,0
QUEENS,2024-10-04,40,18,0
BRONX,2024-10-04,37,20,0
MANHATTAN,2024-10-04,24,8,0
STATEN ISLAND,2024-10-04,10,7,0
BROOKLYN,2024-10-03,54,23,0
QUEENS,2024-10-03,44,16,0
MANHATTAN,2024-10-03,22,9,0
BRONX,2024-10-03,16,5,0
STATEN ISLAND,2024-10-03,5,2,0
BROOKLYN,2024-10-02,48,23,0
QUEENS,2024-10-02,41,17,0
MANHATTAN,2024-10-02,26,10,0
BRONX,2024-10-02,16,8,0
STATEN ISLAND,2024-10-02,6,2,0
